NOTE: 116/143 task(s) (81%) have no known cost — blast_radius unmeasured, so no quadrant (COST/QUAD show '-').
      Quadrant thresholds are computed over the 27 task(s) that do have one.
      Cost becomes measurable once `components:` is resolved; see T-3068.

TASK         BVP   NORM  COST   QUAD  SOURCE     NAME
T-2205        42   0.16     -      -  proposed   T-2204 Slice B — PreToolUse Write/Edit hook refuse
T-2221        42   0.16     -      -  proposed   cockpit.py sibling widening — apply T-2219 escape+
T-544         42   0.16     -      -  proposed   Create TermLink Homebrew tap with GitHub Actions b
T-1274        39   0.14     -      -  proposed   Memory writes (claude auto-memory) blocked by onbo
T-2485        28   0.10     -      -  proposed   dispatch loop probe (T-2484 spike 2)
T-464         18   0.07     -      -  proposed   PR #6: feat: /capture skill + C-002 Exploratory Co
T-801         18   0.07   3.2  lv-lc  proposed   fw costs CLI — token usage tracking from JSONL tra
T-803         14   0.05   1.9  lv-lc  proposed   Landing page token widget — show current session t
T-332         12   0.04     -      -  proposed   Submit to awesome lists (awesome-ai-agents, awesom
T-334         12   0.04     -      -  proposed   Execute launch sequence: r/ClaudeAI soft launch → 
T-449         12   0.04   4.6  lv-hc  proposed   Deep-dive articles 02-06: editing pass — strip fab
T-802         12   0.04   2.0  lv-lc  proposed   Watchtower token dashboard — /costs page with sess
